Date,NEE,FSLR,ORA,XOM,CVX,COP,SSE.L,DRX.L,BP,SHEL,ENGI.PA,VEOEY,TTE,NDX1.DE,S92.DE,RWE.DE,EOAN.DE,NPI.TO,TA.TO,SU.TO,CNQ.TO,IMO.TO,AGL.AX,ORG.AX,WDS,STO.AX,9531.T,9532.T,5020.T,1605.T,EGIE3.SA,CPFE3.SA,PBR,0916.HK,0968.HK,0883.HK
2013-01-01,,,,,,,,,,,6.816526889801025,,,2.7187891006469727,17.675308227539062,20.660106658935547,7.071603775024414,,,,,,7.869289875030518,6.381396770477295,,6.652895927429199,,,,,,,,4.342545032501221,,7.183371067047119
2013-01-02,12.423076629638672,31.989999771118164,18.33131980895996,52.39027404785156,64.35570526123047,38.30008316040039,1428.498291015625,551.9864501953125,20.09100914001465,35.62971115112305,6.870403289794922,3.3696959018707275,24.882694244384766,2.7336409091949463,19.818910598754883,20.604562759399414,7.093779563903809,10.027974128723145,10.252334594726562,20.920238494873047,8.384279251098633,32.28419494628906,7.747756004333496,6.41403865814209,17.48151206970215,6.808589935302734,,,,,8.453866004943848,12.570257186889648,5.532779216766357,4.303422927856445,,7.183371067047119
2013-01-03,12.42483901977539,34.40999984741211,18.130474090576172,52.295772552490234,64.08170318603516,38.27420425415039,1439.417724609375,552.9820556640625,20.493589401245117,35.51132583618164,6.89410924911499,3.2729458808898926,24.698102951049805,2.7528610229492188,20.49583625793457,20.846351623535156,7.147984027862549,10.038570404052734,10.326095581054688,20.932756423950195,8.479001998901367,32.27658462524414,7.773074626922607,6.424919128417969,17.578224182128906,6.766672611236572,1538.3348388671875,1163.6121826171875,305.82989501953125,782.1997680664062,8.54248332977295,12.45113468170166,5.637224197387695,4.342545032501221,,7.199979305267334
2013-01-04,12.486498832702637,33.59000015258789,18.221771240234375,52.537899017333984,64.4198226928711,38.70114517211914,1455.30126953125,557.4615478515625,20.678295135498047,35.7068977355957,,3.2978243827819824,24.759628295898438,,,,,10.012070655822754,10.366326332092285,21.02667999267578,8.65408992767334,32.74821853637695,,,17.554046630859375,,,,,,8.370318412780762,12.06540584564209,5.750138759613037,,,
2013-01-06,,,,,,,,,,,6.762648582458496,,,2.8288679122924805,20.937719345092773,20.215736389160156,7.027251243591309,,,,,,7.783202648162842,6.473881244659424,,6.730742931365967,1553.490478515625,1159.96435546875,302.1526184082031,773.7251586914062,,,,4.577277183532715,,7.1169328689575195
2013-01-07,12.428365707397461,31.3700008392334,17.902246475219727,51.92959976196289,63.982601165771484,38.27420425415039,1454.3087158203125,557.4615478515625,20.555158615112305,35.506187438964844,6.818682670593262,3.239774227142334,24.46616554260254,2.802659034729004,20.744983673095703,20.228803634643555,7.007539749145508,10.04387092590332,10.346211433410645,20.807518005371094,8.54788875579834,32.854713439941406,7.762946605682373,6.544604778289795,17.568559646606445,6.784636497497559,1568.6468505859375,1170.9073486328125,303.3783874511719,770.3352661132812,8.177897453308105,11.679675102233887,5.699326992034912,4.577277183532715,,6.992367744445801
2013-01-08,12.56048583984375,31.020000457763672,18.075693130493164,52.254425048828125,63.6969108581543,37.7567253112793,1445.3743896484375,555.96826171875,20.555158615112305,35.42898941040039,6.818682670593262,3.2535951137542725,24.41409683227539,2.8384780883789062,20.63216209411621,20.45425796508789,7.09870719909668,9.937868118286133,10.393148422241211,20.751171112060547,8.421595573425293,32.88514709472656,7.788266658782959,6.381396770477295,17.761987686157227,6.790626049041748,1572.435546875,1167.2598876953125,305.2170715332031,761.013427734375,8.101940155029297,11.430084228515625,5.549715042114258,5.015444755554199,,6.909323692321777
2013-01-09,12.472404479980469,31.90999984741211,17.984407424926758,52.05364990234375,63.860172271728516,37.679107666015625,1453.3160400390625,562.9366455078125,20.967205047607422,35.23857116699219,6.691530704498291,3.2259521484375,24.399900436401367,3.132896900177002,21.06464385986328,20.065433502197266,7.071603775024414,9.900761604309082,10.393148422241211,20.832569122314453,8.375669479370117,32.89275360107422,7.828778266906738,6.43035888671875,17.703954696655273,6.874459266662598,1564.8577880859375,1170.9073486328125,305.82989501953125,759.3182983398438,8.519698143005371,11.685344696044922,5.5468926429748535,4.90590238571167,,6.867801666259766
2013-01-10,12.593957901000977,31.969999313354492,18.21263885498047,52.620574951171875,64.40234375,37.8408203125,1439.417724609375,561.9412841796875,21.317686080932617,35.60397720336914,6.6441192626953125,3.1789591312408447,24.792770385742188,3.153865098953247,20.683870315551758,19.59165382385254,7.029716968536377,9.948465347290039,10.567482948303223,21.02667999267578,8.522056579589844,33.08293533325195,7.79839563369751,6.424919128417969,17.84419822692871,6.8864359855651855,1564.8577880859375,1174.554931640625,316.86187744140625,790.6743774414062,8.722246170043945,11.793126106262207,5.648514747619629,4.9997944831848145,,6.734929084777832
2013-01-11,12.64504623413086,32.0099983215332,18.52302360534668,52.92178726196289,65.13690185546875,37.692039489746094,1439.417724609375,559.9501953125,21.066669464111328,35.82527160644531,,3.206602096557617,25.0294246673584,,,,,10.017366409301758,10.621123313903809,20.989105224609375,8.553628921508789,33.356773376464844,,,17.67494773864746,,,,,,8.826051712036133,11.75341796875,5.60899543762207,,,
2013-01-13,,,,,,,,,,,6.650585174560547,,,3.4509050846099854,20.65566635131836,19.40867042541504,6.997684955596924,,,,,,7.854095935821533,6.446680545806885,,6.922366619110107,,,,,,,,4.9841461181640625,,6.784755706787109
2013-01-14,12.629193305969238,31.209999084472656,18.203510284423828,52.904052734375,65.78984069824219,37.8214111328125,1425.5203857421875,557.9594116210938,21.000362396240234,35.851009368896484,6.594552040100098,3.1872518062591553,25.043624877929688,3.511185884475708,20.01634979248047,18.800928115844727,6.8917341232299805,10.012070655822754,10.647943496704102,21.139389038085938,8.39863395690918,33.34916687011719,7.823713302612305,6.501081466674805,17.761987686157227,7.024165630340576,1602.74755859375,1200.089111328125,315.6361083984375,809.3180541992188,8.861498832702637,11.866867065429688,5.561007499694824,5.0545654296875,,6.726623058319092
2013-01-15,12.6626615524292,31.6200008392334,18.112218856811523,52.87453842163086,66.13382720947266,38.18364334106445,1432.46923828125,555.96826171875,21.04772186279297,35.87158966064453,6.55791711807251,3.1430227756500244,25.180885314941406,3.351309061050415,20.373615264892578,18.898948669433594,6.822741508483887,10.017366409301758,10.674765586853027,21.239578247070312,8.349835395812988,33.417640686035156,7.79839563369751,6.468440055847168,17.863542556762695,6.970273017883301,1621.6925048828125,1207.3843994140625,308.8942565917969,792.3692016601562,8.988089561462402,11.770434379577637,5.600526332855225,5.03891658782959,,6.676796913146973
2013-01-16,12.562249183654785,30.719999313354492,17.847469329833984,52.839088439941406,66.44279479980469,38.08662414550781,1426.5130615234375,550.4932861328125,20.87721824645996,35.57310104370117,6.616103649139404,3.1734302043914795,25.062559127807617,3.405474901199341,19.471046447753906,19.16361427307129,6.874485015869141,10.012070655822754,10.681472778320312,21.183229446411133,8.249374389648438,33.28071212768555,7.838906288146973,6.522841453552246,18.09082794189453,7.018176555633545,1644.4267578125,1214.6795654296875,310.1201171875,794.9114379882812,8.836180686950684,12.0256986618042,5.57512092590332,4.827658176422119,,6.651883602142334
2013-01-17,12.521734237670898,30.530000686645508,18.084827423095703,53.27024841308594,66.89169311523438,38.25481033325195,1422.542236328125,550.990966796875,20.91511344909668,36.05173110961914,6.594552040100098,3.26741623878479,25.143020629882812,3.3827600479125977,19.630876541137695,18.987171173095703,6.822741508483887,10.11807632446289,10.741820335388184,21.277149200439453,8.418722152709961,33.02968978881836,7.84397029876709,6.571805477142334,18.110166549682617,7.054105758666992,1644.4267578125,1203.73681640625,313.79742431640625,805.92822265625,8.937453269958496,12.139147758483887,5.541247367858887,5.0545654296875,,6.801363468170166
2013-01-18,12.60452651977539,30.079999923706055,17.984407424926758,53.62457275390625,67.18317413330078,38.338897705078125,1419.564208984375,559.9501953125,20.858280181884766,36.10319900512695,,3.3088817596435547,24.93949317932129,,,,,10.133971214294434,10.869215965270996,21.12687110900879,8.596686363220215,33.17421340942383,,,18.018285751342773,,,,,,8.9627685546875,12.19587230682373,5.51301908493042,,,
2013-01-20,,,,,,,,,,,6.7109270095825195,,,3.443042039871216,19.903526306152344,19.157081604003906,6.933620452880859,,,,,,7.914863586425781,6.599005699157715,,7.030153751373291,1640.6375732421875,1214.6795654296875,318.08758544921875,810.1655883789062,,,,5.007620334625244,,6.726623058319092
2013-01-21,,,,,,,1424.5272216796875,577.86865234375,,,6.62903356552124,,,3.4080960750579834,19.884719848632812,18.601613998413086,6.778392314910889,10.192270278930664,11.11060905456543,21.164440155029297,8.73733139038086,33.813201904296875,8.000950813293457,6.588126182556152,,7.036142349243164,1629.2706298828125,1214.6795654296875,316.86187744140625,819.4876098632812,9.304571151733398,12.139147758483887,,4.960672378540039,,6.710014343261719
2013-01-22,12.680278778076172,31.579999923706055,18.32219123840332,53.695430755615234,67.57379913330078,38.79816436767578,1424.5272216796875,573.88671875,20.716190338134766,36.25243377685547,6.527744770050049,3.3807530403137207,24.98681640625,3.620392084121704,19.86121940612793,18.382694244384766,6.640408515930176,10.218779563903809,11.305061340332031,21.389860153198242,8.665571212768555,33.47849655151367,7.889544486999512,6.6262078285217285,18.15852165222168,7.096025466918945,1633.0594482421875,1214.6795654296875,311.3458557128906,813.5555419921875,9.102022171020508,12.139147758483887,5.510195732116699,4.960672378540039,,6.676796913146973
2013-01-23,12.646804809570312,31.149999618530273,18.44999885559082,53.565521240234375,67.04908752441406,38.52002716064453,1372.155517578125,569.9048461914062,20.967205047607422,36.154666900634766,6.560070037841797,3.3586392402648926,24.97262954711914,3.565351963043213,19.880022048950195,18.506855010986328,6.581272125244141,10.335380554199219,11.08378791809082,21.277149200439453,8.662702560424805,33.60779571533203,7.79839563369751,6.680609226226807,18.119840621948242,7.102014064788818,1625.4818115234375,1203.73681640625,312.5716857910156,813.5555419921875,9.071640968322754,12.258270263671875,5.47914457321167,4.952848434448242,,6.543925762176514
2013-01-24,12.701416015625,30.299999237060547,18.47738265991211,53.94938278198242,67.33477783203125,39.07631301879883,1371.1624755859375,583.8414306640625,20.891427993774414,36.211280822753906,6.603172779083252,3.441568374633789,25.072021484375,3.4570200443267822,20.312501907348633,18.582008361816406,6.561560153961182,10.234678268432617,10.916155815124512,21.371076583862305,8.803349494934082,34.0109748840332,7.783202648162842,6.675169467926025,18.09082794189453,7.096025466918945,1644.4267578125,1225.62255859375,313.1845703125,816.0977783203125,9.122279167175293,12.178855895996094,5.544069290161133,4.991971015930176,,6.568837642669678
2013-01-25,12.77188491821289,30.209999084472656,18.47738265991211,54.173797607421875,67.74283599853516,39.49675750732422,1376.126953125,584.8367919921875,20.806175231933594,36.77739715576172,,3.5162055492401123,25.327617645263672,,,,,10.34068489074707,10.869215965270996,21.521352767944336,8.875110626220703,34.29246139526367,,,18.119840621948242,,,,,,,,5.59205961227417,,,
2013-01-27,,,,,,,,,,,6.633343696594238,,,3.444788932800293,18.92574119567871,18.363086700439453,6.438361644744873,,,,,,,,,,1648.2156982421875,1218.3272705078125,315.6361083984375,839.8265991210938,,,,4.952848434448242,,6.602056503295898
2013-01-28,12.754266738891602,29.700000762939453,18.997743606567383,53.80765151977539,67.6495590209961,39.296234130859375,1385.06298828125,582.3482666015625,21.005098342895508,36.84429931640625,6.6441192626953125,3.535555362701416,25.218759536743164,3.3469409942626953,19.0479679107666,18.709440231323242,6.566486835479736,10.330084800720215,10.956389427185059,21.59649658203125,8.87798023223877,34.117469787597656,7.950314044952393,6.756772994995117,18.07148551940918,7.078060626983643,1648.2156982421875,1225.62255859375,321.76495361328125,894.9111938476562,9.198234558105469,11.88388442993164,5.507373809814453,4.92155122756958,,6.685101509094238
2013-01-29,12.791259765625,27.940000534057617,19.390296936035156,54.1915283203125,68.33165740966797,39.88487243652344,1412.8631591796875,592.3028564453125,21.41241455078125,37.36925506591797,6.573002338409424,3.5880773067474365,25.73468017578125,3.465756893157959,17.95736312866211,18.41210174560547,6.514745235443115,10.415278434753418,11.010029792785645,21.6090087890625,8.984179496765137,33.51652145385742,7.89461088180542,6.77309513092041,18.182703018188477,7.269682884216309,1629.2706298828125,1221.9749755859375,329.1195068359375,896.6058349609375,9.137470245361328,11.747745513916016,5.501726150512695,5.124985694885254,,6.8096699714660645
2013-01-30,12.683799743652344,27.90999984741211,19.207721710205078,53.547794342041016,67.88859558105469,39.516170501708984,1405.913330078125,585.3345336914062,21.27506446838379,37.42584991455078,6.512658596038818,3.5383200645446777,25.881406784057617,3.4509050846099854,17.863344192504883,18.10495948791504,6.310235500335693,10.500472068786621,10.9765043258667,21.52762222290039,8.946867942810059,33.417640686035156,7.79839563369751,6.849256992340088,18.047304153442383,7.161896228790283,1633.0594482421875,1251.1566162109375,330.95819091796875,898.3009643554688,8.960240364074707,11.600259780883789,5.242025852203369,5.0858635902404785,,6.651883602142334
2013-01-31,12.692608833312988,28.18000030517578,19.408554077148438,53.134376525878906,67.13072967529297,37.517391204833984,1408.8916015625,590.3119506835938,21.085615158081055,36.293617248535156,6.5363664627075195,3.510676145553589,25.696809768676758,3.4308109283447266,17.280433654785156,18.065752029418945,6.322554588317871,10.409960746765137,10.755229949951172,21.227052688598633,8.64548110961914,33.31873321533203,7.884479999542236,6.800295829772949,17.863542556762695,7.1259660720825195,1636.8485107421875,1232.918212890625,327.893798828125,891.521240234375,8.960240364074707,11.515172004699707,5.160163402557373,5.2032294273376465,,6.651883602142334
2013-02-01,12.733129501342773,28.329999923706055,19.490720748901367,53.175724029541016,67.91776275634766,38.04780578613281,1417.8280029296875,594.7918090820312,21.204015731811523,36.49433135986328,,3.5576703548431396,25.995006561279297,,,,,10.31943416595459,10.869215965270996,21.552658081054688,8.688535690307617,33.40242385864258,,,17.96509552001953,,,,,,8.88681697845459,11.736398696899414,5.270254611968994,,,
2013-02-03,,,,,,,,,,,6.344563007354736,,,3.3373310565948486,16.232135772705078,17.925251007080078,6.258490562438965,,,,,,7.879418849945068,6.794854640960693,,7.167882442474365,1617.9036865234375,1229.2706298828125,329.1195068359375,881.3519287109375,,,,5.437962055206299,,6.64357852935791
2013-02-04,12.682043075561523,28.34000015258789,18.47738265991211,52.650108337402344,67.15985870361328,37.53679656982422,1404.9205322265625,599.2710571289062,20.654619216918945,35.485595703125,6.467402935028076,3.466447591781616,25.138275146484375,3.400233030319214,16.796245574951172,18.00366973876953,6.275738716125488,10.303458213806152,10.936275482177734,21.389860153198242,8.628260612487793,33.2198486328125,7.833843231201172,6.832934379577637,17.800674438476562,7.102014064788818,1602.74755859375,1207.3843994140625,323.60357666015625,857.6231689453125,8.891878128051758,11.651309967041016,5.0895915031433105,5.211053371429443,,6.485795021057129
2013-02-05,12.711990356445312,29.020000457763672,18.824289321899414,52.99857711791992,67.51546478271484,37.33626937866211,1404.9205322265625,607.7324829101562,20.93405532836914,35.418704986572266,6.368269443511963,3.5189695358276367,25.360750198364258,3.363539934158325,16.92317008972168,17.637714385986328,6.19442892074585,10.324751853942871,11.103902816772461,21.52762222290039,8.6827974319458,33.417640686035156,7.85915994644165,6.854698181152344,17.63625717163086,7.245728492736816,1659.5823974609375,1225.62255859375,334.635498046875,889.8262329101562,8.937453269958496,11.571894645690918,4.685925483703613,5.375366687774658,,6.485795021057129
2013-02-06,12.685563087463379,31.1299991607666,18.815166473388672,53.02809524536133,67.57379913330078,37.25217819213867,1400.9486083984375,620.1759643554688,20.834592819213867,35.43413162231445,6.348873615264893,3.5438482761383057,25.08149528503418,3.4491569995880127,17.252229690551758,17.565832138061523,6.164862155914307,10.266185760498047,10.98320484161377,20.369203567504883,8.64835262298584,33.410030364990234,7.757883071899414,6.713251113891602,17.46700096130371,7.269682884216309,1648.2156982421875,1232.918212890625,339.5386657714844,886.4366455078125,8.917200088500977,11.458447456359863,4.657695293426514,5.664869785308838,,6.47749137878418
